year,location,month,month.number,births,location.type
2001,Minas Gerais,Aug,8,24508,state
2001,Minas Gerais,Sept,9,24595,state
2001,Minas Gerais,Oct,10,24240,state
2001,Minas Gerais,Nov,11,22556,state
2001,Minas Gerais,Dec,12,22439,state
2002,Minas Gerais,Jan,1,25199,state
2002,Minas Gerais,Feb,2,23752,state
2002,Minas Gerais,Mar,3,26415,state
2002,Minas Gerais,Apr,4,26344,state
2002,Minas Gerais,May,5,25750,state
2002,Minas Gerais,Jun,6,23820,state
2002,Minas Gerais,Jul,7,24249,state
2002,Minas Gerais,Aug,8,21936,state
2002,Minas Gerais,Sept,9,22739,state
2002,Minas Gerais,Oct,10,21826,state
2002,Minas Gerais,Nov,11,20904,state
2002,Minas Gerais,Dec,12,21624,state
2003,Minas Gerais,Jan,1,24103,state
2003,Minas Gerais,Feb,2,23721,state
2003,Minas Gerais,Mar,3,26100,state
2003,Minas Gerais,Apr,4,25705,state
2003,Minas Gerais,May,5,25674,state
2003,Minas Gerais,Jun,6,23876,state
2003,Minas Gerais,Jul,7,24055,state
2003,Minas Gerais,Aug,8,22880,state
2003,Minas Gerais,Sept,9,23496,state
2003,Minas Gerais,Oct,10,22401,state
2003,Minas Gerais,Nov,11,21035,state
2003,Minas Gerais,Dec,12,21858,state
2004,Minas Gerais,Jan,1,23727,state
2004,Minas Gerais,Feb,2,23452,state
2004,Minas Gerais,Mar,3,25795,state
2004,Minas Gerais,Apr,4,24731,state
2004,Minas Gerais,May,5,24437,state
2004,Minas Gerais,Jun,6,22818,state
2004,Minas Gerais,Jul,7,22866,state
2004,Minas Gerais,Aug,8,22113,state
2004,Minas Gerais,Sept,9,22829,state
2004,Minas Gerais,Oct,10,22034,state
2004,Minas Gerais,Nov,11,21214,state
2004,Minas Gerais,Dec,12,21675,state
2005,Minas Gerais,Jan,1,22290,state
2005,Minas Gerais,Feb,2,21672,state
2005,Minas Gerais,Mar,3,25648,state
2005,Minas Gerais,Apr,4,24582,state
2005,Minas Gerais,May,5,25522,state
2005,Minas Gerais,Jun,6,23841,state
2005,Minas Gerais,Jul,7,23267,state
2005,Minas Gerais,Aug,8,22620,state
2005,Minas Gerais,Sept,9,23344,state
2005,Minas Gerais,Oct,10,22427,state
2005,Minas Gerais,Nov,11,21083,state
2005,Minas Gerais,Dec,12,21172,state
2006,Minas Gerais,Jan,1,21598,state
2006,Minas Gerais,Feb,2,20877,state
2006,Minas Gerais,Mar,3,24366,state
2006,Minas Gerais,Apr,4,23928,state
2006,Minas Gerais,May,5,24345,state
2006,Minas Gerais,Jun,6,22418,state
2006,Minas Gerais,Jul,7,22159,state
2006,Minas Gerais,Aug,8,21888,state
2006,Minas Gerais,Sept,9,22489,state
2006,Minas Gerais,Oct,10,21414,state
2006,Minas Gerais,Nov,11,20046,state
2006,Minas Gerais,Dec,12,20615,state
2007,Minas Gerais,Jan,1,22231,state
2007,Minas Gerais,Feb,2,21479,state
2007,Minas Gerais,Mar,3,24928,state
2007,Minas Gerais,Apr,4,23245,state
2007,Minas Gerais,May,5,23677,state
2007,Minas Gerais,Jun,6,22063,state
2007,Minas Gerais,Jul,7,21498,state
2007,Minas Gerais,Aug,8,20491,state
2007,Minas Gerais,Sept,9,20359,state
2007,Minas Gerais,Oct,10,19957,state
2007,Minas Gerais,Nov,11,19309,state
2007,Minas Gerais,Dec,12,20268,state
2008,Minas Gerais,Jan,1,21172,state
2008,Minas Gerais,Feb,2,21573,state
2008,Minas Gerais,Mar,3,23216,state
2008,Minas Gerais,Apr,4,23263,state
2008,Minas Gerais,May,5,23297,state
2008,Minas Gerais,Jun,6,21871,state
2008,Minas Gerais,Jul,7,22008,state
2008,Minas Gerais,Aug,8,20911,state
2008,Minas Gerais,Sept,9,21568,state
2008,Minas Gerais,Oct,10,21035,state
2008,Minas Gerais,Nov,11,19722,state
2008,Minas Gerais,Dec,12,21280,state
2009,Minas Gerais,Jan,1,21875,state
2009,Minas Gerais,Feb,2,21081,state
2009,Minas Gerais,Mar,3,23930,state
2009,Minas Gerais,Apr,4,22934,state
2009,Minas Gerais,May,5,21465,state
2009,Minas Gerais,Jun,6,20419,state
2009,Minas Gerais,Jul,7,20323,state
2009,Minas Gerais,Aug,8,19661,state
2009,Minas Gerais,Sept,9,21621,state
2009,Minas Gerais,Oct,10,20082,state
2009,Minas Gerais,Nov,11,19062,state
2009,Minas Gerais,Dec,12,20223,state
2010,Minas Gerais,Jan,1,21490,state
2010,Minas Gerais,Feb,2,21205,state
2010,Minas Gerais,Mar,3,24351,state
2010,Minas Gerais,Apr,4,22277,state
2010,Minas Gerais,May,5,22278,state
2010,Minas Gerais,Jun,6,21120,state
2010,Minas Gerais,Jul,7,20892,state
2010,Minas Gerais,Aug,8,20252,state
2010,Minas Gerais,Sept,9,20763,state
2010,Minas Gerais,Oct,10,20335,state
2010,Minas Gerais,Nov,11,19518,state
2010,Minas Gerais,Dec,12,20644,state
2011,Minas Gerais,Jan,1,22070,state
2011,Minas Gerais,Feb,2,21624,state
2011,Minas Gerais,Mar,3,25010,state
2011,Minas Gerais,Apr,4,22632,state
2011,Minas Gerais,May,5,23831,state
2011,Minas Gerais,Jun,6,22086,state
2011,Minas Gerais,Jul,7,21657,state
2011,Minas Gerais,Aug,8,20949,state
2011,Minas Gerais,Sept,9,20252,state
2011,Minas Gerais,Oct,10,19731,state
2011,Minas Gerais,Nov,11,19740,state
2011,Minas Gerais,Dec,12,20281,state
2012,Minas Gerais,Jan,1,21255,state
2012,Minas Gerais,Feb,2,21581,state
2012,Minas Gerais,Mar,3,24427,state
2012,Minas Gerais,Apr,4,22826,state
2012,Minas Gerais,May,5,23184,state
2012,Minas Gerais,Jun,6,21390,state
2012,Minas Gerais,Jul,7,21696,state
2012,Minas Gerais,Aug,8,21127,state
2012,Minas Gerais,Sept,9,20961,state
2012,Minas Gerais,Oct,10,21186,state
2012,Minas Gerais,Nov,11,20184,state
2012,Minas Gerais,Dec,12,20727,state
2013,Minas Gerais,Jan,1,21959,state
2013,Minas Gerais,Feb,2,20916,state
2013,Minas Gerais,Mar,3,23257,state
2013,Minas Gerais,Apr,4,23253,state
2013,Minas Gerais,May,5,23751,state
2013,Minas Gerais,Jun,6,21585,state
2013,Minas Gerais,Jul,7,21602,state
2013,Minas Gerais,Aug,8,21046,state
2013,Minas Gerais,Sept,9,20495,state
2013,Minas Gerais,Oct,10,20626,state
2013,Minas Gerais,Nov,11,19407,state
2013,Minas Gerais,Dec,12,20738,state
2014,Minas Gerais,Jan,1,22608,state
2014,Minas Gerais,Feb,2,22172,state
2014,Minas Gerais,Mar,3,23557,state
2014,Minas Gerais,Apr,4,23641,state
2014,Minas Gerais,May,5,23756,state
2014,Minas Gerais,Jun,6,22386,state
2014,Minas Gerais,Jul,7,22750,state
2014,Minas Gerais,Aug,8,21424,state
2014,Minas Gerais,Sept,9,21373,state
2014,Minas Gerais,Oct,10,21008,state
2014,Minas Gerais,Nov,11,20729,state
2014,Minas Gerais,Dec,12,21726,state
2015,Minas Gerais,Jan,1,22601,state
2015,Minas Gerais,Feb,2,21724,state
2015,Minas Gerais,Mar,3,25470,state
2015,Minas Gerais,Apr,4,23878,state
2015,Minas Gerais,May,5,24021,state
2015,Minas Gerais,Jun,6,22231,state
2015,Minas Gerais,Jul,7,22044,state
2015,Minas Gerais,Aug,8,21555,state
2015,Minas Gerais,Sept,9,21699,state
2015,Minas Gerais,Oct,10,21038,state
2015,Minas Gerais,Nov,11,20289,state
2015,Minas Gerais,Dec,12,21755,state
2016,Minas Gerais,Jan,1,21951,state
2016,Minas Gerais,Feb,2,22366,state
2016,Minas Gerais,Mar,3,24662,state
2016,Minas Gerais,Apr,4,23368,state
2016,Minas Gerais,May,5,23532,state
2016,Minas Gerais,Jun,6,21564,state
2000,Pará,Jan,1,9347,state
2000,Pará,Feb,2,9403,state
2000,Pará,Mar,3,10409,state
2000,Pará,Apr,4,10520,state
2000,Pará,May,5,11248,state
2000,Pará,Jun,6,10973,state
2000,Pará,Jul,7,10823,state
2000,Pará,Aug,8,11537,state
2000,Pará,Sept,9,11548,state
2000,Pará,Oct,10,11256,state
2000,Pará,Nov,11,9882,state
2000,Pará,Dec,12,9394,state
2001,Pará,Jan,1,10413,state
2001,Pará,Feb,2,9785,state
2001,Pará,Mar,3,11498,state
2001,Pará,Apr,4,11146,state
2001,Pará,May,5,12036,state
2001,Pará,Jun,6,11522,state
2001,Pará,Jul,7,11441,state
2001,Pará,Aug,8,10954,state
2001,Pará,Sept,9,11692,state
2001,Pará,Oct,10,12003,state
2001,Pará,Nov,11,11281,state
2001,Pará,Dec,12,10971,state
2002,Pará,Jan,1,11607,state
2002,Pará,Feb,2,10094,state
2002,Pará,Mar,3,11485,state
2002,Pará,Apr,4,11617,state
2002,Pará,May,5,12112,state
2002,Pará,Jun,6,11351,state
2002,Pará,Jul,7,11722,state
2002,Pará,Aug,8,11367,state
2002,Pará,Sept,9,11409,state
2002,Pará,Oct,10,11210,state
2002,Pará,Nov,11,11249,state
2002,Pará,Dec,12,10777,state
2003,Pará,Jan,1,11957,state
2003,Pará,Feb,2,10717,state
2003,Pará,Mar,3,12490,state
2003,Pará,Apr,4,12053,state
2003,Pará,May,5,12917,state
2003,Pará,Jun,6,12549,state
2003,Pará,Jul,7,12846,state
2003,Pará,Aug,8,12544,state
2003,Pará,Sept,9,12183,state
2003,Pará,Oct,10,11999,state
2003,Pará,Nov,11,11706,state
2003,Pará,Dec,12,10851,state
2004,Pará,Jan,1,11705,state
2004,Pará,Feb,2,10824,state
2004,Pará,Mar,3,12257,state
2004,Pará,Apr,4,12334,state
2004,Pará,May,5,12646,state
2004,Pará,Jun,6,12105,state
2004,Pará,Jul,7,12398,state
2004,Pará,Aug,8,12577,state
2004,Pará,Sept,9,12502,state
2004,Pará,Oct,10,11713,state
2004,Pará,Nov,11,11506,state
2004,Pará,Dec,12,10327,state
2005,Pará,Jan,1,12130,state
2005,Pará,Feb,2,10709,state
2005,Pará,Mar,3,12992,state
2005,Pará,Apr,4,13101,state
2005,Pará,May,5,13332,state
2005,Pará,Jun,6,12691,state
2005,Pará,Jul,7,12380,state
2005,Pará,Aug,8,12794,state
2005,Pará,Sept,9,12408,state
2005,Pará,Oct,10,11765,state
2005,Pará,Nov,11,11195,state
2005,Pará,Dec,12,10042,state
2006,Pará,Jan,1,12051,state
2006,Pará,Feb,2,10833,state
2006,Pará,Mar,3,12749,state
2006,Pará,Apr,4,12475,state
2006,Pará,May,5,13082,state
2006,Pará,Jun,6,12475,state
2006,Pará,Jul,7,12547,state
2006,Pará,Aug,8,12713,state
2006,Pará,Sept,9,13030,state
2006,Pará,Oct,10,13215,state
2006,Pará,Nov,11,12253,state
2006,Pará,Dec,12,12779,state
2007,Pará,Jan,1,13178,state
2007,Pará,Feb,2,11289,state
2007,Pará,Mar,3,12624,state
2007,Pará,Apr,4,12120,state
2007,Pará,May,5,12848,state
2007,Pará,Jun,6,12393,state
2007,Pará,Jul,7,12722,state
2007,Pará,Aug,8,12696,state
2007,Pará,Sept,9,12820,state
2007,Pará,Oct,10,12571,state
2007,Pará,Nov,11,12334,state
2007,Pará,Dec,12,12552,state
2008,Pará,Jan,1,12220,state
2008,Pará,Feb,2,11019,state
2008,Pará,Mar,3,12398,state
2008,Pará,Apr,4,12790,state
2008,Pará,May,5,12870,state
2008,Pará,Jun,6,12436,state
2008,Pará,Jul,7,12804,state
2008,Pará,Aug,8,12803,state
2008,Pará,Sept,9,13213,state
2008,Pará,Oct,10,13409,state
2008,Pará,Nov,11,12417,state
2008,Pará,Dec,12,12883,state
2009,Pará,Jan,1,12290,state
2009,Pará,Feb,2,10501,state
2009,Pará,Mar,3,12372,state
2009,Pará,Apr,4,12063,state
2009,Pará,May,5,11778,state
2009,Pará,Jun,6,11788,state
2009,Pará,Jul,7,11725,state
2009,Pará,Aug,8,11974,state
2009,Pará,Sept,9,12603,state
2009,Pará,Oct,10,12152,state
2009,Pará,Nov,11,11699,state
2009,Pará,Dec,12,12195,state
2010,Pará,Jan,1,12018,state
2010,Pará,Feb,2,10744,state
2010,Pará,Mar,3,12352,state
2010,Pará,Apr,4,11540,state
2010,Pará,May,5,11962,state
2010,Pará,Jun,6,11602,state
2010,Pará,Jul,7,11852,state
2010,Pará,Aug,8,11690,state
2010,Pará,Sept,9,12478,state
2010,Pará,Oct,10,12317,state
2010,Pará,Nov,11,11271,state
2010,Pará,Dec,12,10861,state
2011,Pará,Jan,1,11335,state
2011,Pará,Feb,2,10365,state
2011,Pará,Mar,3,11992,state
2011,Pará,Apr,4,11717,state
2011,Pará,May,5,12246,state
2011,Pará,Jun,6,11865,state
2011,Pará,Jul,7,11837,state
2011,Pará,Aug,8,12090,state
2011,Pará,Sept,9,12132,state
2011,Pará,Oct,10,12440,state
2011,Pará,Nov,11,12167,state
2011,Pará,Dec,12,11788,state
2012,Pará,Jan,1,11710,state
2012,Pará,Feb,2,10381,state
2012,Pará,Mar,3,11394,state
2012,Pará,Apr,4,11474,state
2012,Pará,May,5,11646,state
2012,Pará,Jun,6,10913,state
2012,Pará,Jul,7,11295,state
2012,Pará,Aug,8,11709,state
2012,Pará,Sept,9,11688,state
2012,Pará,Oct,10,12095,state
2012,Pará,Nov,11,11735,state
2012,Pará,Dec,12,11797,state
2013,Pará,Jan,1,11377,state
2013,Pará,Feb,2,10272,state
2013,Pará,Mar,3,11586,state
2013,Pará,Apr,4,11975,state
2013,Pará,May,5,12259,state
2013,Pará,Jun,6,11496,state
2013,Pará,Jul,7,11799,state
2013,Pará,Aug,8,11684,state
2013,Pará,Sept,9,12320,state
2013,Pará,Oct,10,12254,state
2013,Pará,Nov,11,11287,state
2013,Pará,Dec,12,11107,state
2014,Pará,Jan,1,11226,state
2014,Pará,Feb,2,10545,state
2014,Pará,Mar,3,11699,state
2014,Pará,Apr,4,12102,state
2014,Pará,May,5,12313,state
2014,Pará,Jun,6,11546,state
2014,Pará,Jul,7,12357,state
2014,Pará,Aug,8,12189,state
2014,Pará,Sept,9,12721,state
2014,Pará,Oct,10,12491,state
2014,Pará,Nov,11,11979,state
2014,Pará,Dec,12,12335,state
2015,Pará,Jan,1,12193,state
2015,Pará,Feb,2,10895,state
2015,Pará,Mar,3,11883,state
2015,Pará,Apr,4,12077,state
2015,Pará,May,5,12130,state
2015,Pará,Jun,6,11834,state
2015,Pará,Jul,7,11962,state
2015,Pará,Aug,8,12040,state
2015,Pará,Sept,9,12285,state
2015,Pará,Oct,10,12610,state
2015,Pará,Nov,11,11934,state
2015,Pará,Dec,12,11814,state
2016,Pará,Jan,1,11620,state
2016,Pará,Feb,2,10904,state
2016,Pará,Mar,3,11502,state
2016,Pará,Apr,4,11673,state
2016,Pará,May,5,11701,state
2016,Pará,Jun,6,11445,state
2000,Paraíba,Jan,1,4760,state
2000,Paraíba,Feb,2,4531,state
2000,Paraíba,Mar,3,5503,state
2000,Paraíba,Apr,4,5326,state
2000,Paraíba,May,5,5522,state
2000,Paraíba,Jun,6,5184,state
2000,Paraíba,Jul,7,4865,state
2000,Paraíba,Aug,8,4758,state
2000,Paraíba,Sept,9,4781,state
2000,Paraíba,Oct,10,4657,state
2000,Paraíba,Nov,11,4276,state
2000,Paraíba,Dec,12,3264,state
2001,Paraíba,Jan,1,4888,state
2001,Paraíba,Feb,2,4509,state
2001,Paraíba,Mar,3,5654,state
2001,Paraíba,Apr,4,5575,state
2001,Paraíba,May,5,6045,state
2001,Paraíba,Jun,6,5835,state
2001,Paraíba,Jul,7,5603,state
2001,Paraíba,Aug,8,5517,state
2001,Paraíba,Sept,9,5650,state
2001,Paraíba,Oct,10,5674,state
2001,Paraíba,Nov,11,5272,state
2001,Paraíba,Dec,12,4735,state
2002,Paraíba,Jan,1,5441,state
2002,Paraíba,Feb,2,5186,state
2002,Paraíba,Mar,3,5936,state
2002,Paraíba,Apr,4,5386,state
2002,Paraíba,May,5,5730,state
2002,Paraíba,Jun,6,5436,state
2002,Paraíba,Jul,7,5444,state
2002,Paraíba,Aug,8,4952,state
2002,Paraíba,Sept,9,5088,state
2002,Paraíba,Oct,10,5049,state
2002,Paraíba,Nov,11,5051,state
2002,Paraíba,Dec,12,5307,state
2003,Paraíba,Jan,1,5368,state
2003,Paraíba,Feb,2,5159,state
2003,Paraíba,Mar,3,6028,state
2003,Paraíba,Apr,4,5675,state
2003,Paraíba,May,5,5932,state
2003,Paraíba,Jun,6,5508,state
2003,Paraíba,Jul,7,5560,state
2003,Paraíba,Aug,8,5263,state
2003,Paraíba,Sept,9,5211,state
2003,Paraíba,Oct,10,4906,state
2003,Paraíba,Nov,11,4769,state
2003,Paraíba,Dec,12,4736,state
2004,Paraíba,Jan,1,4933,state
2004,Paraíba,Feb,2,4822,state
2004,Paraíba,Mar,3,5852,state
2004,Paraíba,Apr,4,5436,state
2004,Paraíba,May,5,5688,state
2004,Paraíba,Jun,6,5337,state
2004,Paraíba,Jul,7,5311,state
2004,Paraíba,Aug,8,5083,state
2004,Paraíba,Sept,9,5282,state
2004,Paraíba,Oct,10,5031,state
2004,Paraíba,Nov,11,4830,state
2004,Paraíba,Dec,12,4595,state
2005,Paraíba,Jan,1,5147,state
2005,Paraíba,Feb,2,4977,state
2005,Paraíba,Mar,3,5860,state
2005,Paraíba,Apr,4,5512,state
2005,Paraíba,May,5,5996,state
2005,Paraíba,Jun,6,5766,state
2005,Paraíba,Jul,7,5527,state
2005,Paraíba,Aug,8,5177,state
2005,Paraíba,Sept,9,5468,state
2005,Paraíba,Oct,10,5144,state
2005,Paraíba,Nov,11,4952,state
2005,Paraíba,Dec,12,4768,state
2006,Paraíba,Jan,1,4645,state
2006,Paraíba,Feb,2,4308,state
2006,Paraíba,Mar,3,5496,state
2006,Paraíba,Apr,4,5212,state
2006,Paraíba,May,5,5555,state
2006,Paraíba,Jun,6,5331,state
2006,Paraíba,Jul,7,5361,state
2006,Paraíba,Aug,8,5204,state
2006,Paraíba,Sept,9,5107,state
2006,Paraíba,Oct,10,5028,state
2006,Paraíba,Nov,11,4502,state
2006,Paraíba,Dec,12,4483,state
2007,Paraíba,Jan,1,4638,state
2007,Paraíba,Feb,2,4289,state
2007,Paraíba,Mar,3,5531,state
2007,Paraíba,Apr,4,5286,state
2007,Paraíba,May,5,5421,state
2007,Paraíba,Jun,6,5184,state
2007,Paraíba,Jul,7,5266,state
2007,Paraíba,Aug,8,4899,state
2007,Paraíba,Sept,9,4908,state
2007,Paraíba,Oct,10,4770,state
2007,Paraíba,Nov,11,4500,state
2007,Paraíba,Dec,12,4764,state
2008,Paraíba,Jan,1,4927,state
2008,Paraíba,Feb,2,4484,state
2008,Paraíba,Mar,3,5574,state
2008,Paraíba,Apr,4,5282,state
2008,Paraíba,May,5,5557,state
2008,Paraíba,Jun,6,5279,state
2008,Paraíba,Jul,7,5539,state
2008,Paraíba,Aug,8,5190,state
2008,Paraíba,Sept,9,5352,state
2008,Paraíba,Oct,10,5150,state
2008,Paraíba,Nov,11,4650,state
2008,Paraíba,Dec,12,4980,state
2009,Paraíba,Jan,1,5096,state
2009,Paraíba,Feb,2,4646,state
2009,Paraíba,Mar,3,5818,state
2009,Paraíba,Apr,4,5321,state
2009,Paraíba,May,5,5355,state
2009,Paraíba,Jun,6,4810,state
2009,Paraíba,Jul,7,4847,state
2009,Paraíba,Aug,8,4795,state
2009,Paraíba,Sept,9,4998,state
2009,Paraíba,Oct,10,4862,state
2009,Paraíba,Nov,11,4739,state
2009,Paraíba,Dec,12,4734,state
2010,Paraíba,Jan,1,4538,state
2010,Paraíba,Feb,2,4413,state
2010,Paraíba,Mar,3,5533,state
2010,Paraíba,Apr,4,5234,state
2010,Paraíba,May,5,5429,state
2010,Paraíba,Jun,6,5007,state
2010,Paraíba,Jul,7,4990,state
2010,Paraíba,Aug,8,4975,state
2010,Paraíba,Sept,9,5045,state
2010,Paraíba,Oct,10,4732,state
2010,Paraíba,Nov,11,4494,state
2010,Paraíba,Dec,12,4309,state
2011,Paraíba,Jan,1,4478,state
2011,Paraíba,Feb,2,4452,state
2011,Paraíba,Mar,3,5436,state
2011,Paraíba,Apr,4,5240,state
2011,Paraíba,May,5,5634,state
2011,Paraíba,Jun,6,5319,state
2011,Paraíba,Jul,7,4812,state
2011,Paraíba,Aug,8,4884,state
2011,Paraíba,Sept,9,4854,state
2011,Paraíba,Oct,10,4550,state
2011,Paraíba,Nov,11,4552,state
2011,Paraíba,Dec,12,4530,state
2012,Paraíba,Jan,1,4637,state
2012,Paraíba,Feb,2,4599,state
2012,Paraíba,Mar,3,5201,state
2012,Paraíba,Apr,4,4830,state
2012,Paraíba,May,5,5204,state
2012,Paraíba,Jun,6,4689,state
2012,Paraíba,Jul,7,4829,state
2012,Paraíba,Aug,8,4529,state
2012,Paraíba,Sept,9,4675,state
2012,Paraíba,Oct,10,4673,state
2012,Paraíba,Nov,11,4486,state
2012,Paraíba,Dec,12,4418,state
2013,Paraíba,Jan,1,4610,state
2013,Paraíba,Feb,2,4143,state
2013,Paraíba,Mar,3,4893,state
2013,Paraíba,Apr,4,4874,state
2013,Paraíba,May,5,5343,state
2013,Paraíba,Jun,6,4949,state
2013,Paraíba,Jul,7,5041,state
2013,Paraíba,Aug,8,4847,state
2013,Paraíba,Sept,9,4706,state
2013,Paraíba,Oct,10,4664,state
2013,Paraíba,Nov,11,4373,state
2013,Paraíba,Dec,12,4411,state
2014,Paraíba,Jan,1,4531,state
2014,Paraíba,Feb,2,4455,state
2014,Paraíba,Mar,3,5071,state
2014,Paraíba,Apr,4,4966,state
2014,Paraíba,May,5,5181,state
2014,Paraíba,Jun,6,4727,state
2014,Paraíba,Jul,7,5083,state
2014,Paraíba,Aug,8,4723,state
2014,Paraíba,Sept,9,4978,state
2014,Paraíba,Oct,10,4794,state
2014,Paraíba,Nov,11,4489,state
2014,Paraíba,Dec,12,4537,state
2015,Paraíba,Jan,1,4735,state
2015,Paraíba,Feb,2,4482,state
2015,Paraíba,Mar,3,5416,state
2015,Paraíba,Apr,4,5086,state
2015,Paraíba,May,5,5236,state
2015,Paraíba,Jun,6,4882,state
2015,Paraíba,Jul,7,5053,state
2015,Paraíba,Aug,8,4989,state
2015,Paraíba,Sept,9,4916,state
2015,Paraíba,Oct,10,4948,state
2015,Paraíba,Nov,11,4614,state
2015,Paraíba,Dec,12,4732,state
2016,Paraíba,Jan,1,4674,state
2016,Paraíba,Feb,2,4628,state
2016,Paraíba,Mar,3,5426,state
2016,Paraíba,Apr,4,5206,state
2016,Paraíba,May,5,5357,state
2016,Paraíba,Jun,6,4885,state
2000,Paraná,Jan,1,15125,state
2000,Paraná,Feb,2,15439,state
2000,Paraná,Mar,3,16019,state
2000,Paraná,Apr,4,15005,state
2000,Paraná,May,5,15880,state
2000,Paraná,Jun,6,14934,state
2000,Paraná,Jul,7,15321,state
2000,Paraná,Aug,8,15433,state
2000,Paraná,Sept,9,15078,state
2000,Paraná,Oct,10,14196,state
2000,Paraná,Nov,11,13253,state
2000,Paraná,Dec,12,13779,state
2001,Paraná,Jan,1,14841,state
2001,Paraná,Feb,2,13688,state
2001,Paraná,Mar,3,14774,state
2001,Paraná,Apr,4,14043,state
2001,Paraná,May,5,14871,state
2001,Paraná,Jun,6,14049,state
2001,Paraná,Jul,7,13971,state
2001,Paraná,Aug,8,13875,state
2001,Paraná,Sept,9,13887,state
2001,Paraná,Oct,10,13369,state
2001,Paraná,Nov,11,12478,state
2001,Paraná,Dec,12,13424,state
2002,Paraná,Jan,1,14271,state
2002,Paraná,Feb,2,13350,state
2002,Paraná,Mar,3,15080,state
2002,Paraná,Apr,4,14623,state
2002,Paraná,May,5,14480,state
2002,Paraná,Jun,6,13372,state
2002,Paraná,Jul,7,14214,state
2002,Paraná,Aug,8,13692,state
2002,Paraná,Sept,9,13918,state
2002,Paraná,Oct,10,13415,state
2002,Paraná,Nov,11,12309,state
2002,Paraná,Dec,12,12401,state
2003,Paraná,Jan,1,12905,state
2003,Paraná,Feb,2,12709,state
2003,Paraná,Mar,3,13998,state
2003,Paraná,Apr,4,13837,state
2003,Paraná,May,5,14046,state
2003,Paraná,Jun,6,13275,state
2003,Paraná,Jul,7,13480,state
2003,Paraná,Aug,8,13097,state
2003,Paraná,Sept,9,13252,state
2003,Paraná,Oct,10,12440,state
2003,Paraná,Nov,11,11808,state
2003,Paraná,Dec,12,12486,state
2004,Paraná,Jan,1,13727,state
2004,Paraná,Feb,2,12831,state
2004,Paraná,Mar,3,14338,state
2004,Paraná,Apr,4,13422,state
2004,Paraná,May,5,14368,state
2004,Paraná,Jun,6,13370,state
2004,Paraná,Jul,7,13159,state
2004,Paraná,Aug,8,13345,state
2004,Paraná,Sept,9,13631,state
2004,Paraná,Oct,10,12781,state
2004,Paraná,Nov,11,12055,state
2004,Paraná,Dec,12,12609,state
2005,Paraná,Jan,1,12957,state
2005,Paraná,Feb,2,12487,state
2005,Paraná,Mar,3,14446,state
2005,Paraná,Apr,4,14057,state
2005,Paraná,May,5,14598,state
2005,Paraná,Jun,6,13700,state
2005,Paraná,Jul,7,13672,state
2005,Paraná,Aug,8,13671,state
2005,Paraná,Sept,9,13431,state
2005,Paraná,Oct,10,12659,state
2005,Paraná,Nov,11,12059,state
2005,Paraná,Dec,12,12586,state
2006,Paraná,Jan,1,12644,state
2006,Paraná,Feb,2,12574,state
2006,Paraná,Mar,3,14222,state
2006,Paraná,Apr,4,13572,state
2006,Paraná,May,5,14165,state
2006,Paraná,Jun,6,13156,state
2006,Paraná,Jul,7,12826,state
2006,Paraná,Aug,8,12776,state
2006,Paraná,Sept,9,12596,state
2006,Paraná,Oct,10,11968,state
2006,Paraná,Nov,11,11117,state
2006,Paraná,Dec,12,11982,state
2007,Paraná,Jan,1,13264,state
2007,Paraná,Feb,2,12466,state
2007,Paraná,Mar,3,13655,state
2007,Paraná,Apr,4,12431,state
2007,Paraná,May,5,13130,state
2007,Paraná,Jun,6,12743,state
2007,Paraná,Jul,7,12632,state
2007,Paraná,Aug,8,11763,state
2007,Paraná,Sept,9,11527,state
2007,Paraná,Oct,10,11356,state
2007,Paraná,Nov,11,11048,state
2007,Paraná,Dec,12,11539,state
2008,Paraná,Jan,1,12295,state
2008,Paraná,Feb,2,12262,state
2008,Paraná,Mar,3,13421,state
2008,Paraná,Apr,4,13251,state
2008,Paraná,May,5,13690,state
2008,Paraná,Jun,6,12419,state
2008,Paraná,Jul,7,12769,state
2008,Paraná,Aug,8,12350,state
2008,Paraná,Sept,9,12589,state
2008,Paraná,Oct,10,12255,state
2008,Paraná,Nov,11,11261,state
2008,Paraná,Dec,12,12530,state
2009,Paraná,Jan,1,12975,state
2009,Paraná,Feb,2,12129,state
2009,Paraná,Mar,3,13720,state
2009,Paraná,Apr,4,12777,state
2009,Paraná,May,5,12241,state
2009,Paraná,Jun,6,12245,state
2009,Paraná,Jul,7,12271,state
2009,Paraná,Aug,8,12339,state
2009,Paraná,Sept,9,13068,state
2009,Paraná,Oct,10,12332,state
2009,Paraná,Nov,11,11211,state
2009,Paraná,Dec,12,11909,state
2010,Paraná,Jan,1,12947,state
2010,Paraná,Feb,2,12654,state
2010,Paraná,Mar,3,14314,state
2010,Paraná,Apr,4,12823,state
2010,Paraná,May,5,13440,state
2010,Paraná,Jun,6,12956,state
2010,Paraná,Jul,7,12990,state
2010,Paraná,Aug,8,12038,state
2010,Paraná,Sept,9,12130,state
2010,Paraná,Oct,10,11723,state
2010,Paraná,Nov,11,11269,state
2010,Paraná,Dec,12,12767,state
2011,Paraná,Jan,1,13191,state
2011,Paraná,Feb,2,12779,state
2011,Paraná,Mar,3,14322,state
2011,Paraná,Apr,4,13309,state
2011,Paraná,May,5,13728,state
2011,Paraná,Jun,6,12826,state
2011,Paraná,Jul,7,13122,state
